ID,Year,roe,ta,cc,ffr,lf
CFR,2011,0.099,0.18930096,0.085119028,-0.111612903,8.73132471
CFR,2012,0.1,0.00338707,0.081273135,0.092903226,4.94387983
CFR,2013,0.094,0.31913634,0.061679646,-0.079354839,7.899735023
CFR,2014,0.098,0.11914151,0.075446636,0.037419355,4.565764439
CFR,2015,0.094,-0.0023696,0.064467186,0.118064516,1.082028275
CFR,2016,0.096,-0.00585918,0.057874364,0.299354839,1.23973597
CFR,2017,0.111,-0.00303749,0.067805067,0.761612903,0.431470995
CFR,2018,0.135,-0.08514775,0.061834403,0.972580645,0.101179986
CFR,2019,0.115,0.00790062,0.049918222,-0.723225806,0.01556497
CFR,2020,0.08,0.57560369,0.143210333,-1.460967742,-7.588985688
CFR,2021,0.1,0.17559228,0.071445957,-0.010322581,15.91849214
CMA,2004,0.15,0.06269718,0.05064302,1.171935484,1.065023483
CMA,2005,0.17,0.03770142,0.038972171,2.000967742,1.224294601
CMA,2006,0.173,0.02666631,0.032639133,1.080967742,0.671091796
CMA,2007,0.134,0.02634684,0.013461014,-0.993548387,-0.776062595
CMA,2008,0.034,0.92001516,0.067851275,-4.089354839,-10.79813249
CMA,2009,-0.017,-0.00158462,0.051538923,-0.037096774,-23.4155207
CMA,2010,0.026,0.07526413,0.057877427,0.06516129,6.06811579
CMA,2011,0.06,0.18930096,0.085119028,-0.111612903,8.73132471
CMA,2012,0.073,0.00338707,0.081273135,0.092903226,4.94387983
CMA,2013,0.076,0.31913634,0.061679646,-0.079354839,7.899735023
CMA,2014,0.079,0.11914151,0.075446636,0.037419355,4.565764439
CMA,2015,0.068,-0.0023696,0.064467186,0.118064516,1.082028275
CMA,2016,0.061,-0.00585918,0.057874364,0.299354839,1.23973597
CMA,2017,0.093,-0.00303749,0.067805067,0.761612903,0.431470995
CMA,2018,0.156,-0.08514775,0.061834403,0.972580645,0.101179986
CMA,2019,0.163,0.00790062,0.049918222,-0.723225806,0.01556497
CMA,2020,0.062,0.57560369,0.143210333,-1.460967742,-7.588985688
CMA,2021,0.143,0.17559228,0.071445957,-0.010322581,15.91849214
COLB,2004,0.13,0.06269718,0.05064302,1.171935484,1.065023483
COLB,2005,0.137,0.03770142,0.038972171,2.000967742,1.224294601
COLB,2006,0.134,0.02666631,0.032639133,1.080967742,0.671091796
COLB,2007,0.109,0.02634684,0.013461014,-0.993548387,-0.776062595
COLB,2008,0.015,0.92001516,0.067851275,-4.089354839,-10.79813249
COLB,2009,-0.018,-0.00158462,0.051538923,-0.037096774,-23.4155207
COLB,2010,0.038,0.07526413,0.057877427,0.06516129,6.06811579
COLB,2011,0.065,0.18930096,0.085119028,-0.111612903,8.73132471
COLB,2012,0.061,0.00338707,0.081273135,0.092903226,4.94387983
COLB,2013,0.062,0.31913634,0.061679646,-0.079354839,7.899735023
COLB,2014,0.073,0.11914151,0.075446636,0.037419355,4.565764439
COLB,2015,0.079,-0.0023696,0.064467186,0.118064516,1.082028275
COLB,2016,0.083,-0.00585918,0.057874364,0.299354839,1.23973597
COLB,2017,0.077,-0.00303749,0.067805067,0.761612903,0.431470995
COLB,2018,0.087,-0.08514775,0.061834403,0.972580645,0.101179986
COLB,2019,0.091,0.00790062,0.049918222,-0.723225806,0.01556497
COLB,2020,0.068,0.57560369,0.143210333,-1.460967742,-7.588985688
COLB,2021,0.085,0.17559228,0.071445957,-0.010322581,15.91849214
